project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N42000005,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-02,655.34,,655.34,366.21,,,2020-06,95.0,ongoing_census,2024-08
N42000007,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-09,588.72,656.39,656.39,666.18,,,2024-06,100.0,ongoing_census,2024-08
N16000235,VISAKH REFINERY MODERNISATION PROJECT,PETROLEUM,Andhra Pradesh,HPCL,2016-07,20928.0,26264.0,30609.0,25921.72,,2022-07,2024-10,98.41,ongoing_census,2024-08
N16000247,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,PETROLEUM,Andhra Pradesh,ONGC,2016-03,34012.0,,34012.0,30136.72,,2025-03,2025-03,93.3,ongoing_census,2024-08
N16000343,REVAMPING OF FACILITIES AT VIZAG TERMINAL,PETROLEUM,Andhra Pradesh,Mar-25) (N.A.,,355.0,,355.0,238.15,,2025-03,2025-03,76.8,ongoing_census,2024-08
N16000378,SWRO II WITH LLPH FACILITIES,PETROLEUM,Andhra Pradesh,N.A.) (196.26,2019-09,196.26,196.26,196.26,147.53,,,2025-03,86.8,ongoing_census,2024-08
N16000432,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,PETROLEUM,Andhra Pradesh,HPCL,2021-09,160.0,,160.0,11.36,,,2025-06,40.0,ongoing_census,2024-08
N16000485,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",PETROLEUM,Andhra Pradesh,IOCL,2022-03,1420.0,,1420.0,105.01,,,2030-03,4.8,ongoing_census,2024-08
N16000499,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,PETROLEUM,Andhra Pradesh,BPCL,2019-09,1932.0,,1932.0,1491.57,,,2025-10,65.8,ongoing_census,2024-08
N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),POWER,Andhra Pradesh,PGCIL,2023-09,1249.0,,1249.0,83.51,,,2025-09,10.0,ongoing_census,2024-08
220100265,KOTLPALLI-NARASAPUR (NL) (SCR) 12/2001,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2001-12,1045.2,,2500.98,1150.74,2009-03,,2027-03,,ongoing_census,2024-08
N22000286,NADIKUDE-SRI KALAHASTI,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2011-04,2288.7,,3122.35,1657.11,,,2027-05,,ongoing_census,2024-08
N22000368,GUNTUR-GUNTAKAL (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2016-04,3631.0,,3887.48,3110.26,,,2025-12,,ongoing_census,2024-08
N22000369,VIJAYAWADA-GUDUR,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2015-04,3246.26,,6238.67,5614.6,,,2024-12,84.0,ongoing_census,2024-08
N22000377,KOTTAVALSA - KORAPUT DOUBLING,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2015-04,2499.71,,2499.71,1679.82,,,2022-03,67.0,ongoing_census,2024-08
N22000555,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",RAILWAYS,Andhra Pradesh,SWR,,294.67,307.66,307.66,110.93,,,2025-02,41.0,ongoing_census,2024-08
N22000556,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),RAILWAYS,Andhra Pradesh,SWR,2022-09,323.14,342.41,342.41,39.46,,,2026-12,12.0,ongoing_census,2024-08
N22000585,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),RAILWAYS,Andhra Pradesh,SCR,2023-03,351.83,,351.83,0.0,,,2027-03,,ongoing_census,2024-08
N22000586,VIJAYAWADA KAZIPET BYEPASS LINE,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,,226.72,,226.72,161.84,,,2025-12,55.0,ongoing_census,2024-08
N22000587,RENIGUNTA WADI GOOTY - BYPASS,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2016-04,302.0,,302.0,147.0,,,2025-12,50.0,ongoing_census,2024-08
N24001476,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-09,517.05,,655.06,504.99,,2024-09,2025-03,60.5,ongoing_census,2024-08
N24001477,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-09,622.0,,817.91,481.97,,2024-09,2025-03,52.35,ongoing_census,2024-08
N24001817,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,757.45,,757.45,471.32,,2024-10,2024-10,77.56,ongoing_census,2024-08
N24001818,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2021-02,818.73,,1105.0,313.61,,,2025-01,15.05,ongoing_census,2024-08
N24001819,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1102.63,,1303.0,753.0,,,2025-01,72.3,ongoing_census,2024-08
N24001820,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2021-02,1484.83,,1768.0,1028.32,,,2024-12,56.41,ongoing_census,2024-08
N24001821,BANGALORE CHENNAI EXPRESSWAY 11/2020 KM 156.000 (BANGARUPALEM TO GUDIP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,PHASE-II PKG-III) FROM KM.127.000 TO (N.A.) (N.A.,2020-11,1137.74,,1289.0,874.5,2024-10,,2024-10,80.8,ongoing_census,2024-08
N24001822,BANGALORE CHENNAI EXPRESSWAY 12/2020 (PHASE-II PKG-I) FROM KM.71.000 TO KM 96.000 (BETHAMANGALA IN THE STATE,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2020-12,1075.27,,1307.0,753.94,2024-10,,2024-10,61.67,ongoing_census,2024-08
N24001823,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH-71(PACKAGE-I) - N/05060/01002/A,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-01,1852.12,,1787.0,525.31,,2023-01,2025-01,62.0,ongoing_census,2024-08
N24001824,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1863.09,,2238.0,1207.08,,2024-12,2024-12,90.2,ongoing_census,2024-08
N24001836,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH-130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-02,824.29,,924.0,385.35,,,2024-10,61.0,ongoing_census,2024-08
N24001837,6L JAKKUVA ? KORLAM SECTION OF NH- 130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,663.6,,768.0,305.55,,2024-07,2024-09,85.0,ongoing_census,2024-08
N24001838,6L ALURU - JAKKUVA SECTION OF NH- 130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,,922.5,,1128.68,361.43,,,2025-03,68.5,ongoing_census,2024-08
N24001841,6L ACCESS CONTROLLED GREENFIELD 12/2022 HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-12,912.94,,912.94,119.04,2025-09,,2026-02,19.07,ongoing_census,2024-08
N24001842,6L ACCESS CONTROLLED GREENFIELD 12/2022 HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2022-12,750.81,,750.81,76.57,2025-11,,2025-11,16.0,ongoing_census,2024-08
N24001843,6L ACCESS CONTROLLED GREENFIELD 12/2022 HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-12,992.89,,992.89,59.87,2025-11,,2025-11,11.5,ongoing_census,2024-08
N24001844,6L ACCESS CONTROLLED GREENFIELD 12/2022 HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM.,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2022-12,1058.9,,1058.9,131.27,2025-10,,2025-10,10.77,ongoing_census,2024-08
N24001845,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-02,1253.24,,1253.24,70.84,,,2025-10,3.5,ongoing_census,2024-08
N24001846,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM.,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2023-02,1200.42,,1200.42,57.64,,,2025-10,1.5,ongoing_census,2024-08
N24001847,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-01,956.14,,956.14,57.22,,,2025-11,10.21,ongoing_census,2024-08
N24001848,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2023-02,909.02,,909.02,59.96,,,2025-10,4.6,ongoing_census,2024-08
N24001849,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1063.72,,1063.72,310.9,,,2025-09,38.06,ongoing_census,2024-08
N24001856,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2023-05,648.75,,648.75,104.87,,,2025-08,29.82,ongoing_census,2024-08
N24001931,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION (DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING BATH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2022-03,536.0,,536.0,393.81,,,2025-02,92.0,ongoing_census,2024-08
N24001932,2L+PS FROM KM. 0+000 TO KM. 32+000 (MUDIGUBBA TO PUTTAPARTHI) OF NH-,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,,401.72,,401.72,162.11,,,2024-09,65.45,ongoing_census,2024-08
N24001933,MULAKALACHERUVU TO MADANAPALLE 12/2021 SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2021-12,480.1,,480.1,443.87,2024-12,,2024-12,78.0,ongoing_census,2024-08
N24001934,NH440 RAYACHOTY TOVEMPALLI 2LPS 12/2021,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,,439.82,,439.82,193.63,2024-05,,2024-05,27.0,ongoing_census,2024-08
N24001935,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,724.17,,724.17,321.81,,,2025-08,60.0,ongoing_census,2024-08
N24001939,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2020-03,529.24,,529.24,292.35,,,2025-12,44.16,ongoing_census,2024-08
N24001942,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2021-03,423.67,,423.67,228.15,,,2024-07,58.0,ongoing_census,2024-08
N24001949,NH167B FROM KM 99.103 CS PURAM TO 12/2021 KM 143.320 MALAKONDA TO 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,277.3,,277.3,152.32,2024-03,,2025-12,73.78,ongoing_census,2024-08
N24001950,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2021-03,369.81,,369.81,236.3,,,2025-02,78.38,ongoing_census,2024-08
N24001951,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2022-01,403.22,,403.22,262.08,,,2025-01,71.0,ongoing_census,2024-08
N24001952,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2022-03,285.5,,285.5,98.83,,,2025-08,44.46,ongoing_census,2024-08
N24001953,NH-30-BHADRACHALAM TO KONTA 12/2021 SECTION 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2021-12,388.71,,388.71,172.26,2024-09,,2024-09,63.84,ongoing_census,2024-08
N24001954,WIDENING TO 2LPS OF RAMPACHODAVARAM - KOYYURU SECTION OF NH516E FROM KM.43.700 TO KM 113.820,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2022-03,568.12,,568.12,287.91,,,2025-01,76.0,ongoing_census,2024-08
N24001955,GUDIWADA TOWN 2 LANE ROB AND ROAD IMPROVEMENT OF NH165 IN REPLACEMENT OF LC NO 3ESPL3 AT KM 231.700,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,317.22,,317.22,126.88,,,2025-05,40.0,ongoing_census,2024-08
N24001956,2LPS FROM GONDIGUDA TO ARAKU BHALLAGUDA KM 27.480 TO KM 51.772 SECTION OF NH 516E,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2020-08,296.66,,296.66,216.41,,,2024-12,79.0,ongoing_census,2024-08
N24001957,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2020-08,349.29,,349.29,138.22,,,2024-07,49.0,ongoing_census,2024-08
N24001958,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2020-08,311.22,,311.22,100.84,,,2024-10,40.0,ongoing_census,2024-08
N24001959,4 LANE FROM KM 56.400 TO KM 120.300 FROM B.KOTHAPALLI JUNCTION TO GORANTLA OF NH 716G,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,839.98,,839.98,204.69,,,2025-09,30.99,ongoing_census,2024-08
N24001979,4L GREENFIELD ROAD CONNECTING NORTH AND SOUTH INDUSTRIAL CLUSTER OF KHANDALERU CREEK NEAR KRISHNAPAT,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-08,609.43,,609.43,25.24,,,2025-09,18.97,ongoing_census,2024-08
N24001980,4 LANING OF NH 544D FROM EXISTING 10/2022 KM 346.300 OF NH 44 (DESIGN CHAINAGE KM 0.000) TO KM 39.380 (DESIG,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-10,907.76,,907.76,226.82,2025-07,,2025-07,42.63,ongoing_census,2024-08
N24001981,CONSTRUCTION OF SIX LANING OF NAIDUPETA JUNCTION - TURPUKANUPUR SECTION FROM KM.57+046 TO KM.91+927,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1398.84,,1398.84,58.68,,,2025-10,5.13,ongoing_census,2024-08
N24001982,4L PS FROM KURNOOL (EXISTING KM. 5.400 OF NH-40/DESIGN KM.0.000) TO MANDLEM (EXISTING KM.38.000/DESI,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,827.39,,827.39,242.6,,,2025-10,63.01,ongoing_census,2024-08
N24001983,4 LANING FROM EXISTING KM 39.380 10/2022 (DESIGN CH. 37.000) TO KM 74.450 (DESIGN CH. 69.000) OF MUCHUKOTA ?,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2022-10,972.63,,1055.23,181.56,2025-08,,2025-08,32.69,ongoing_census,2024-08
N24001984,4L PS FROM MANDLEM (EXISTING KM. 38.000/DESIGN KM.30.600) TO ATMAKUR (EXISTING KM.73.000/DESIGN KM 6,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,887.28,,887.28,107.91,,,2025-10,21.37,ongoing_census,2024-08
N24001985,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-II) FROM KM.96.000 TO KM 127.000 (BAIREDDYPALLE TO BANGAR,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-03,1942.94,2171.0,2171.0,940.28,,,2025-06,36.22,ongoing_census,2024-08
N24001986,4L OF PILERU TO KALUR SECTION 10/2023 FROM KM 55.900 TO KM 92.800 AND KM 94.500 TO KM 95.717,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-10,1047.32,,1047.32,240.43,2025-04,,2025-04,51.7,ongoing_census,2024-08
N24001987,"CONSTRUCTION OF 1 NOS ROB, 2 NOS VUPS, SERVICE ROADS, PROVISION OF LIGHTING AND CONSTRUCTION OF OTHE",ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,,152.05,,152.05,83.28,,,2024-12,49.63,ongoing_census,2024-08
N24001988,6L OF CHITTOOR TO THATCHUR FROM KUMARAJAPET TO VEERA KAVERI RAJA PURAM FROM KM 43.800 TO KM 61.380 O,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,591.99,703.0,703.0,210.49,,,2025-10,34.33,ongoing_census,2024-08
N24002033,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED HIGHWAY FROM CHILLAKURU CROSS ROAD TO TURPUKANUPUR KM 0+000,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-07,909.47,,909.47,97.03,,,2025-12,11.2,ongoing_census,2024-08
N24002103,COMPLETION OF BALANCE WORKS PENDING IN BIT AND PIECES (INCOMPLETE STRETCH AT 7 LOCATIONS) AND LISTED,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-09,166.52,,166.52,43.74,,,2025-01,,ongoing_census,2024-08
N24002122,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2024-02,813.66,,813.66,11.72,,,2026-02,6.0,ongoing_census,2024-08
N24002123,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2024-02,1292.65,,1292.65,27.33,,,2026-02,0.95,ongoing_census,2024-08
N24002124,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2024-02,747.29,,747.29,42.83,,,2026-02,1.66,ongoing_census,2024-08
N24002125,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2024-02,976.4,,976.4,55.64,,,2026-02,10.2,ongoing_census,2024-08
N24002126,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2024-02,1103.89,,1103.89,54.54,,,2026-02,,ongoing_census,2024-08
N24002139,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2023-03,1318.57,,1318.57,253.37,,,2025-11,29.95,ongoing_census,2024-08
N24002140,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33],ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2023-04,629.73,,629.73,185.0,,,2025-12,37.85,ongoing_census,2024-08
N24002141,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2023-06,364.07,,364.07,87.55,,,2025-07,52.0,ongoing_census,2024-08
N24002142,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2023-08,361.24,,361.24,11.35,,,2025-11,8.26,ongoing_census,2024-08
N24002143,BYPASS ROAD TO ADONI TOWN CONNECTING NH-167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2023-08,361.24,,361.24,29.08,,,2026-02,19.84,ongoing_census,2024-08
N24002144,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH-167A (PACKAGE-I),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2023-08,1064.24,,1064.24,183.47,,,2026-02,13.37,ongoing_census,2024-08
