project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,CIVIL AVIATION,Andhra Pradesh,N.A.,,611.8,,611.8,282.22,2023-03,,2024-12,45.8,ongoing_census,2024-06
N04000103,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,CIVIL AVIATION,Andhra Pradesh,AAI,2022-12,347.15,,347.15,31.65,2025-08,,2025-08,20.0,ongoing_census,2024-06
N04000106,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,CIVIL AVIATION,Andhra Pradesh,N.A.,,265.91,,265.91,5.89,2026-01,,2026-01,3.5,ongoing_census,2024-06
N42000005,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-02,655.34,,655.34,366.21,2020-06,,2020-06,95.0,ongoing_census,2024-06
N42000007,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,N.A.) (656.39,2019-09,588.72,656.39,656.39,660.86,2022-09,,2024-06,100.0,ongoing_census,2024-06
N16000235,VISAKH REFINERY MODERNISATION PROJECT,PETROLEUM,Andhra Pradesh,HPCL,2016-07,20928.0,26264.0,26264.0,25921.72,2020-07,2022-07,2024-08,98.3,ongoing_census,2024-06
N16000247,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,PETROLEUM,Andhra Pradesh,ONGC,2016-03,34012.0,,34012.0,29804.09,2020-06,2024-05,2024-05,92.0,ongoing_census,2024-06
N16000343,REVAMPING OF FACILITIES AT VIZAG TERMINAL,PETROLEUM,Andhra Pradesh,IOCL,2018-04,355.0,,355.0,234.89,2022-04,2025-03,2025-03,76.5,ongoing_census,2024-06
N16000378,SWRO II WITH LLPH FACILITIES,PETROLEUM,Andhra Pradesh,N.A.) (196.26,2019-09,196.26,196.26,196.26,147.53,2020-07,,2024-11,86.8,ongoing_census,2024-06
N16000406,RUF PITCH LOADING GANTRY,PETROLEUM,Andhra Pradesh,N.A.) (332.61,2020-10,332.61,332.61,332.61,356.61,2022-11,,2024-04,100.0,ongoing_census,2024-06
N16000420,"CGD PROJECT AT SRIKAKULAM, VISAKHAPATNAM AND VIZIANAGARAM DISTRICTS",PETROLEUM,Andhra Pradesh,IOCL,2019-06,2880.0,,2880.0,236.74,2027-08,2030-03,2030-03,100.0,ongoing_census,2024-06
N16000432,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,PETROLEUM,Andhra Pradesh,HPCL,2021-09,160.0,,160.0,10.07,2024-06,,2025-06,39.0,ongoing_census,2024-06
N16000485,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",PETROLEUM,Andhra Pradesh,IOCL,2022-03,1420.0,,1420.0,96.24,2030-03,,2030-03,4.6,ongoing_census,2024-06
N16000499,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,PETROLEUM,Andhra Pradesh,BPCL,2019-09,1932.0,,1932.0,1437.2,2025-03,,2025-10,60.5,ongoing_census,2024-06
N18000380,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),POWER,Andhra Pradesh,PGCIL,2023-09,1249.0,,1249.0,73.81,2025-03,,2025-09,5.0,ongoing_census,2024-06
N22000286,NADIKUDE-SRI KALAHASTI,RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2011-04,2288.7,,3122.35,1620.25,2021-03,,2027-05,0.0,ongoing_census,2024-06
N22000368,GUNTUR-GUNTAKAL (SCR),RAILWAYS,Andhra Pradesh,N.A.,2016-04,3631.0,,3887.48,2981.58,2022-03,,2025-12,0.0,ongoing_census,2024-06
N22000369,VIJAYAWADA-GUDUR (RVNL),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2015-04,3246.26,,6238.67,5614.6,2023-12,,2024-12,84.0,ongoing_census,2024-06
N22000377,KOTTAVALSA - KORAPUT DOUBLING (ECOR),RAILWAYS,Andhra Pradesh,N.A.,2015-04,2499.71,,2499.71,1617.31,2022-03,,2022-03,65.0,ongoing_census,2024-06
N22000555,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",RAILWAYS,Andhra Pradesh,SWR,2019-04,294.67,307.66,307.66,104.45,2026-03,,2025-02,40.0,ongoing_census,2024-06
N22000556,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),RAILWAYS,Andhra Pradesh,SWR,2022-09,323.14,342.41,342.41,39.46,2025-12,,2026-12,12.0,ongoing_census,2024-06
N22000585,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),RAILWAYS,Andhra Pradesh,N.A.,2023-03,351.83,,351.83,,2027-03,,2027-03,0.0,ongoing_census,2024-06
N22000586,VIJAYAWADA KAZIPET BYEPASS LINE (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2016-04,226.72,,226.72,126.06,2025-12,,2025-12,55.0,ongoing_census,2024-06
N22000587,RENIGUNTA WADI GOOTY - BYPASS (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2016-04,302.0,,302.0,108.33,2025-12,,2025-12,50.0,ongoing_census,2024-06
220100265,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2001-12,1045.2,,2500.98,1150.74,2009-03,,2027-03,0.0,ongoing_census,2024-06
N24000282,REHABILITATION AND UPGRADATION OF EXISTING NH-565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,195.45,,385.97,294.95,2014-11,,2024-05,96.96,ongoing_census,2024-06
N24000301,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA PRADES,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,271.45,,271.45,238.23,2015-10,2021-05,2021-05,100.0,ongoing_census,2024-06
N24000422,REHABILITATION AND UPGRADATION OF NH-42 FROM KM 4-350 TO KM 75-600,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,Aug-17,,309.01,,309.01,,2015-09,2017-08,2018-05,100.0,ongoing_census,2024-06
N24000811,CONSTRUCTION OF SIX LANING OF DEDICATED PORT ROAD TO KRISHNAPATNAM PORT (PACKAGE-I) KM 0+000 TO KM 1,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2018-03,314.43,,348.72,85.61,2020-12,2022-12,2024-12,60.41,ongoing_census,2024-06
N24000928,FOUR LANING OF 5.122 KM OF NH9(NEW NH 65) FROM KM 269.900(DESIGN CH0.0) TO KM 275/622(DESIGN CH 5.12,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,Dec-19,2015-10,333.21,,353.43,342.71,2015-12,2019-12,2021-01,100.0,ongoing_census,2024-06
N24000929,REHABILITATION AND UPGRADATION OF NH219(NEW NH42) FROM KM 244.930 TO 299.775 (MADANAPALLI PUNGANURU,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,372.68,,309.37,274.76,2017-02,2022-01,2022-02,100.0,ongoing_census,2024-06
N24000931,REHABILITATION AND UPGRADATION OF EXISTING NH-167 FROM KM 14.900 TO KM 70.00 (DESIGN CH.14.900 TO 69,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,290.15,,236.16,205.02,2017-05,,2024-11,0.0,ongoing_census,2024-06
N24000932,REHABILITATION AND UPGRADATION OF NH-340 FROM KM 0/0 TO KM 60/380 (DESIGN CH. 0/000 TO 60/025 EXCLUD,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,319.28,,319.28,241.94,2017-08,2022-07,2022-07,100.0,ongoing_census,2024-06
N24000933,CONSTRUCTION OF 4-LANE BYPASS TO VIJAYANAGARAM TOWN ON NH43 (NEW NH26) FROM 537/6 TO 552/0 (RAIPUR-V,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,429.43,,373.05,385.4,2017-11,,2024-12,0.0,ongoing_census,2024-06
N24000934,REHABILITATION AND UPGRADATION OF NH326A FROM KM 0/0 TO 41/979 (EXCLUDING KM 2/255 TO 3/372 AND KM 3,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,228.32,,202.83,176.26,2018-08,,2024-09,0.0,ongoing_census,2024-06
N24000937,REHABILITATION AND UPGRADATION OF NEW NH-544DD FROM DESIGN CHAINAGE KM 56.00 TO 102.20 OF KALYANDURG,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,289.67,290.0,285.29,254.19,2018-08,,2024-08,0.0,ongoing_census,2024-06
N24000939,REHABILITATION AND UPGRADATION OF NEW NH-544E FROM KM. 0.000 TO KM 56.803 OF KODIKONDA - MADAKASIRA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,504.19,504.0,530.0,516.39,2018-11,,2024-07,0.0,ongoing_census,2024-06
N24000940,REHABILITATION AND UPGRADATION OF KARNATATKA/AP BORDER-GOOTY SECTION FROM KM 368.920 TO KM 424.225 O,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (995.00,,995.09,995.0,995.09,643.54,2016-05,,2016-05,0.0,ongoing_census,2024-06
N24000963,REHABILITATION AND UPGRADATION OF NH565 FROM EXISTING KM 361.330(DORNALA T JUNCTION) TO KM 420.800(P,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,418.03,386.99,386.99,365.55,2018-08,2021-12,2021-12,100.0,ongoing_census,2024-06
N24000964,CONSTRUCTION OF TIMMAPURAM TO GURJANAPALLE SECTION FROM KM 26.150 TO 41.161 OF NH- 214(NH216)(KAKINAD,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2016-08,350.61,,411.18,457.55,2017-01,,2025-05,0.0,ongoing_census,2024-06
N24000965,REHABILITATION AND UPGRADATION OF DHINDI-DIGAMARRU SECTION FROM KM126/510 TO KM135/740 OF NH214(NH21,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,386.09,,288.76,266.29,2016-05,,2024-07,0.0,ongoing_census,2024-06
N24000966,REHABILITATION UPGRADATION OF NH214(NH216) FROM KM41.161 TO KM59.800(GURJANAPALLI TO POLEKURU SECT,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2016-01,348.95,,355.69,317.36,2016-08,,2016-08,98.74,ongoing_census,2024-06
N24000967,REHABILITATION AND UPGRADATION OF LOSARI-MACHAVARAM SECTION FROM KM34/230 TO KM84/550 OF NH214(NH216,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,444.84,,459.37,423.36,2016-09,,2025-03,0.0,ongoing_census,2024-06
N24000968,REHABILITATION AND UPGRADATION OF MACHILIPATNAM TO AVANIGADDA SECTION FROM KM84/550 - 124/200 OF NH2,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,376.25,,414.44,405.97,2017-08,,2017-08,98.0,ongoing_census,2024-06
N24000969,CONSTRUCTION OF 2L+PS FROM PASARLAPUDI-DHINDI (105/700 TO 127.500 OF NH-214) OF NH-216,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2017-01,263.45,,263.45,232.21,2017-09,,2024-09,0.0,ongoing_census,2024-06
N24000970,REHABILITAITON AND UPGRADATION OF REPALLE TO EEPPURPALEM SECTION FROM KM 128/927 TO KM 195/000 OF NH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,576.48,,686.13,685.2,2018-01,,2024-07,0.0,ongoing_census,2024-06
N24001300,6-LANING OF VIJAYAWADA BYPASS FROM CHINNA AVUTUPALLI (DESIGN CH.0+000) TO GOLLAPUDI (DESIGN CH. 30+0,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1226.88,1569.68,1581.24,1419.23,2021-02,2023-08,2024-10,95.66,ongoing_census,2024-06
N24001301,6-LANING OF VIJAYAWADA BYPASS FROM GOLLAPUDI (DESIGN CH. 30+000) TO CHINNAKAKANI (DESIGN CH. 47+881),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1601.1,,1601.1,1139.04,2024-01,,2024-07,72.51,ongoing_census,2024-06
N24001384,REHABILITATION AND UP GRADATION OF NH-544E FROM KM 56/803 TO KM 99/179 OF MADAKASIRA TO SIRA SECTION,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,207.79,,207.79,177.96,2021-03,2022-11,2022-11,99.39,ongoing_census,2024-06
N24001385,WIDENING AND STRENGTHENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 491/000 TO KM 525/200 OF RAIPUR,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2020-06,221.4,,221.4,171.44,2021-05,,2023-06,0.0,ongoing_census,2024-06
N24001386,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED SHOULDERS CONFIGURATION OF PADERU- GONDIGUDA SECT,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,222.61,,222.61,143.53,2021-03,,2024-08,76.18,ongoing_census,2024-06
N24001476,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-09,517.05,,655.06,485.07,2022-09,2024-09,2025-03,58.16,ongoing_census,2024-06
N24001477,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2021-09,622.0,,817.91,452.26,2022-09,2024-09,2025-03,48.67,ongoing_census,2024-06
N24001817,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2019-02,757.45,,757.45,435.82,2023-03,2024-12,2024-12,68.05,ongoing_census,2024-06
N24001818,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-02,818.73,,1105.0,240.02,2025-01,,2025-01,10.81,ongoing_census,2024-06
N24001819,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,1102.63,,1303.0,626.36,2025-01,,2025-01,60.04,ongoing_census,2024-06
N24001820,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2021-02,1484.83,,1768.0,824.83,2024-12,,2024-12,50.06,ongoing_census,2024-06
N24001821,BANGALORE CHENNAI EXPRESSWAY KM 156.000 (BANGARUPALEM TO GUDIP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,PHASE-II PKG-III) FROM KM.127.000 TO (N.A.) (N.A.,2020-11,1137.74,,1289.0,760.64,2024-10,,2024-10,70.12,ongoing_census,2024-06
N24001822,BANGALORE CHENNAI EXPRESSWAY 96.000 (BETHAMANGALA IN THE STATE,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2020-12,1075.27,,1307.0,657.86,2024-10,,2024-10,53.2,ongoing_census,2024-06
N24001823,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH-71(PACKAGE-I) - N/05060/01002/A,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-01,1852.12,,1787.0,471.8,2025-01,2023-01,2025-01,55.1,ongoing_census,2024-06
N24001824,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,Dec-24,2020-03,1863.09,,2238.0,1051.65,2024-01,2024-12,2024-12,85.3,ongoing_census,2024-06
N24001836,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH-130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-02,824.29,,924.0,376.15,2024-10,,2024-10,60.8,ongoing_census,2024-06
N24001837,6L JAKKUVA ? KORLAM SECTION OF NH- 130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,,663.6,,768.0,305.48,2024-03,2024-07,2024-09,84.0,ongoing_census,2024-06
N24001838,6L ALURU - JAKKUVA SECTION OF NH- 130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2021-02,922.5,,1128.68,333.84,2024-03,,2025-03,66.7,ongoing_census,2024-06
N24001839,6L KORLAM-KANTAKAPALLE SECTION OF NH-130CD ROAD FROM KM 421.100 TO KM 445.100 (PKG-3),ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,772.7,,980.51,556.84,2024-02,,2024-02,97.5,ongoing_census,2024-06
N24001841,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-12,912.94,,912.94,60.53,2025-09,,2026-02,0.0,ongoing_census,2024-06
N24001842,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2022-12,750.81,,750.81,31.56,2025-11,,2025-11,0.0,ongoing_census,2024-06
N24001843,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-12,992.89,,992.89,28.78,2025-11,,2025-11,0.0,ongoing_census,2024-06
N24001844,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM.,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2022-12,1058.9,,1058.9,56.0,2025-10,,2025-10,0.0,ongoing_census,2024-06
N24001845,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-02,1253.24,,1253.24,70.84,2025-10,,2025-10,,ongoing_census,2024-06
N24001846,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM.,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-02,1200.42,,1200.42,57.61,2025-10,,2025-10,0.0,ongoing_census,2024-06
N24001847,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2023-01,956.14,,956.14,19.29,2025-11,,2025-11,0.0,ongoing_census,2024-06
N24001848,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2023-02,909.02,,909.02,59.96,2025-10,,2025-10,0.0,ongoing_census,2024-06
N24001849,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH 67,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,2022-05,1063.72,,1063.72,275.49,2025-07,,2025-09,31.34,ongoing_census,2024-06
N24001856,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2023-05,648.75,,648.75,92.07,2025-08,,2025-08,24.99,ongoing_census,2024-06
N24001930,FORMATION OF BYPASS ROAD TO KADIRI TOWN FROM ON NH42,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2020-06,220.66,,220.66,164.53,2023-09,,2023-09,87.69,ongoing_census,2024-06
N24001931,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION (DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING BATH,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2022-03,536.0,,536.0,393.81,2025-02,,2025-02,92.0,ongoing_census,2024-06
N24001932,2L+PS FROM KM. 0+000 TO KM. 32+000 342,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MUDIGUBBA TO PUTTAPARTHI) OF NH- (N.A.) (N.A.,2022-03,401.72,,401.72,161.11,2024-09,,2024-09,60.0,ongoing_census,2024-06
N24001933,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2021-12,480.1,,480.1,443.87,2024-12,,2024-12,78.0,ongoing_census,2024-06
N24001934,NH440 RAYACHOTY TOVEMPALLI 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.) (N.A.,2021-12,439.82,,439.82,193.63,2024-05,,2024-05,26.0,ongoing_census,2024-06
N24001935,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2022-03,724.17,,724.17,321.81,2025-08,,2025-08,59.0,ongoing_census,2024-06
N24001939,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2020-03,529.24,,529.24,262.44,2023-09,,2024-12,29.0,ongoing_census,2024-06
N24001942,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,,423.67,,423.67,228.15,2024-07,,2024-07,58.0,ongoing_census,2024-06
N24001949,NH167B FROM KM 99.103 CS PURAM TO KM 143.320 MALAKONDA TO 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,277.3,,277.3,125.09,2024-03,,2025-12,58.61,ongoing_census,2024-06
N24001950,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,N.A.,2021-03,369.81,,369.81,217.73,2025-02,,2025-02,73.3,ongoing_census,2024-06
N24001951,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,2022-01,403.22,,403.22,262.08,2025-01,,2025-01,70.0,ongoing_census,2024-06
N24001952,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,,285.5,,285.5,88.57,2025-08,,2025-08,42.31,ongoing_census,2024-06
